,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
184,Wednesday,Paul Weitz,comedy,Little Fockers,22/12/2010,Universal,338.8,100.0,310.7,5.4,2.7,162.2,52.2,210.7,210.7,98,148.4,47.8
185,Friday,Noam Murro,action,300: Rise of An Empire,7/03/2014,WB,339.1,110.0,337.6,6.3,2.93,231,68.4,227.6,206.9,102,106.6,31.6
187,Friday,Ang Lee,action,The Incredible Hulk,20/06/2003,Universal,340.4,137.0,263.4,6.9,3.34,128.6,48.8,126.4,92.3,138,134.8,51.2
189,Friday,Wes Ball,action,The Maze Runner,19/09/2014,Fox,342.3,34.0,340.8,6.9,3.38,238.3,69.9,306.8,902.4,113,102.4,30.1
190,Friday,"Christopher Williams, Byron Howard",animation,Bolt,21/11/2008,Buena Vista Studios,342.4,150.0,310,6.9,3.53,195.9,63.2,160,106.7,96,114.1,36.8
194,Friday,Barry Levinson,drama,Disclosure,9/12/1994,WB,343.4,55.0,214,6.0,3.29,131,61.2,159,289.1,128,83.0,38.8
195,Friday,Nancy Meyers,comedy,Something's Gotta Give,12/12/2003,Sony,344.7,80.0,266.7,6.7,3.49,142,53.2,186.7,233.4,128,124.7,46.8
196,Wednesday,Phillip Noyce,action,Clear and Present Danger,3/08/1994,Paramount Pictures,346.4,62.0,215.9,6.9,3.67,93.7,43.4,153.9,248.2,141,122.2,56.6
198,Saturday,Brad Peyton,adventure,Journey 2: The Mysterious Island,11/02/2012,WB,347.3,79.0,335.3,5.8,2.84,231.4,69.0,256.3,324.4,94,103.9,31.0
199,Thursday,M. Night Shyamalan,action,The Last Airbender,1/07/2010,Paramount Pictures,348.7,150.0,319.7,4.3,2.36,187.9,58.8,169.7,113.1,103,131.8,41.2
